2024-07-10 21:54:51.608099
2024-07-10 21:58:55.766173
data, poison_rate, attacker, defender, CACC, std, ASR, std, time, iter
2024-07-10 22:01:46.340003
data, poison_rate, attacker, defender, CACC, std, ASR, std, time, iter
2024-07-11 09:51:39.570305
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,badnets,loss,0.8967600219659527,0.19078947368421054,356.3,1/5
2024-07-11 10:00:23.336063
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,badnets,loss,0.8968,0.1908,116.7,1/5
sst-2,0.1,badnets,loss,0.9044,0.1897,114.6,2/5
sst-2,0.1,badnets,loss,0.8984,0.2719,114.1,3/5
sst-2,0.1,badnets,loss,0.8924,0.2061,113.1,4/5
sst-2,0.1,badnets,loss,0.9138,0.1535,114.5,5/5
sst-2,0.1,badnets,onion,0.8808,0.1700,325.1,1/5
sst-2,0.1,badnets,onion,0.8710,0.1886,321.0,2/5
sst-2,0.1,badnets,onion,0.8786,0.2018,321.0,3/5
sst-2,0.1,badnets,onion,0.8699,0.2061,321.5,4/5
sst-2,0.1,badnets,onion,0.8753,0.1985,322.7,5/5
2024-07-12 09:27:21.562809
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 09:28:56.358442
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 09:43:48.616724
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 09:45:13.775561
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 09:51:21.140975
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 09:52:16.447761
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
None,0.1,None,None,0.8968,0.1908,117.1,1/5
None,0.1,None,None,0.9044,0.1897,115.3,2/5
None,0.1,None,None,0.8984,0.2719,114.4,3/5
None,0.1,None,None,0.8924,0.2061,112.8,4/5
None,0.1,None,None,0.9138,0.1535,114.3,5/5
None,0.1,None,None,0.8808,0.1700,325.9,1/5
None,0.1,None,None,0.8710,0.1886,322.4,2/5
None,0.1,None,None,0.8786,0.2018,321.7,3/5
None,0.1,None,None,0.8699,0.2061,322.9,4/5
None,0.1,None,None,0.8753,0.1985,324.6,5/5
sst-2,0.1,badnets,none,0.9105,0.4912,107.3,1/5
sst-2,0.1,badnets,none,0.9121,0.4518,106.8,2/5
sst-2,0.1,badnets,none,0.9209,0.8914,106.3,3/5
sst-2,0.1,badnets,none,0.9182,0.4331,105.3,4/5
sst-2,0.1,badnets,none,0.9160,0.4463,105.8,5/5
sst-2,0.1,badnets,loss,0.8968,0.1908,113.5,1/5
sst-2,0.1,badnets,loss,0.9044,0.1897,113.7,2/5
sst-2,0.1,badnets,loss,0.8984,0.2719,113.8,3/5
sst-2,0.1,badnets,loss,0.8924,0.2061,112.9,4/5
sst-2,0.1,badnets,loss,0.9138,0.1535,114.4,5/5
sst-2,0.1,badnets,onion,0.8808,0.1700,322.9,1/5
sst-2,0.1,badnets,onion,0.8710,0.1886,322.5,2/5
sst-2,0.1,badnets,onion,0.8786,0.2018,322.0,3/5
sst-2,0.1,badnets,onion,0.8699,0.2061,322.5,4/5
sst-2,0.1,badnets,onion,0.8753,0.1985,323.8,5/5
sst-2,0.1,badnets,rap,0.9055,0.4068,129.4,1/5
sst-2,0.1,badnets,rap,0.9006,0.3465,128.8,2/5
sst-2,0.1,badnets,rap,0.9072,0.6425,128.1,3/5
sst-2,0.1,badnets,rap,0.9072,0.3289,127.0,4/5
sst-2,0.1,badnets,rap,0.9044,0.3629,127.4,5/5
2024-07-12 20:18:07.884292
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 20:32:48.318989
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 20:34:04.394156
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,addsent,none,0.9209,1.0000,98.6,1/5
sst-2,0.1,addsent,none,0.9055,0.9989,96.5,2/5
sst-2,0.1,addsent,none,0.9121,1.0000,95.6,3/5
2024-07-12 20:39:19.181142
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
sst-2,0.1,addsent,none,0.9209,1.0000,97.9,1/5
sst-2,0.1,addsent,none,0.9055,0.9989,95.2,2/5
sst-2,0.1,addsent,none,0.9121,1.0000,95.5,3/5
sst-2,0.1,addsent,none,0.9099,1.0000,95.2,4/5
sst-2,0.1,addsent,none,0.9066,1.0000,94.6,5/5
2024-07-12 21:15:00.785475
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 21:15:43.882050
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 21:18:24.760928
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 21:22:11.864080
data,poison_rate,attacker,defender,CACC,std,ASR,std,time,iter
2024-07-12 21:50:35.218266
